"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.sourceSystemHSAId","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.sourceSystemHSAId","","","",1,1,"","","","Identifier {[]} {[]}
","Källsystemets HSA-id","Källsystemets HSA-id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.sourceSystemHSAId",1,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTitle","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTitle","","","",0,1,"","","","string {[]} {[]}
","Dokumentets titel","Dokumentets titel","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTitle",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTime","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTime","","","",0,1,"","","","instant {[]} {[]}
","Dokumentets tidpunkt","Dokumentets tidpunkt","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.documentTime",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId","","","",1,1,"","","","Identifier {[]} {[]}
","Patientens id","Patientens id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.id","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.extension","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.use","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.use","","","",0,1,"","Y","Y","code {[]} {[]}
","usual | official | temp | secondary | old (If known)","The purpose of this identifier.","Applications can assume that an identifier is permanent unless it explicitly says that it is temporary.","Allows the appropriate identifier for a particular context of use to be selected from among a set of identifiers.","","","","","","","",,"required","Identifies the purpose for this identifier, if known .","http://hl7.org/fhir/ValueSet/identifier-use|4.0.1","",,,,"Identifier.use",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.type","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.type","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","Description of identifier","A coded type for the identifier that can be used to determine which identifier to use for a specific purpose.","This element deals only with general categories of identifiers.  It SHOULD not be used for codes that correspond 1..1 with the Identifier.system. Some identifiers may fall into multiple categories due to common usage.   Where the system is known, a type is unnecessary because the type is always part of the system definition. However systems often need to handle identifiers where the system is not known. There is not a 1:1 relationship between type and system, since many different systems have the same type.","Allows users to make use of identifiers when the identifier system is not known.","","","","","","","",,"extensible","A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","http://hl7.org/fhir/ValueSet/identifier-type|4.0.1","",,,,"Identifier.type",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.system","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.system","","","",1,1,"","","Y","uri {[]} {[]}
","OID för identifierartyp (t.ex. urn:oid:1.2.752.129.2.1.3.1)","OID för identifierartyp (t.ex. urn:oid:1.2.752.129.2.1.3.1)","Identifier.system is always case sensitive.","There are many sets  of identifiers.  To perform matching of two identifiers, we need to know what set we're dealing with. The system identifies a particular set of unique identifiers.","","","","","<valueUri xmlns=""http://hl7.org/fhir"" value=""http://www.acme.com/identifiers/patient""/>","","",,,,,"",,,,"Identifier.system",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.value","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.value","","","",1,1,"","","Y","string {[]} {[]}
","Patientens personnummer/samordningsnummer","Patientens personnummer/samordningsnummer","If the value is a full URI, then the system SHALL be urn:ietf:rfc:3986.  The value's primary purpose is computational mapping.  As a result, it may be normalized for comparison purposes (e.g. removing non-significant whitespace, dashes, etc.)  A value formatted for human display can be conveyed using the [Rendered Value extension](http://hl7.org/fhir/R4/extension-rendered-value.html). Identifier.value is to be treated as case sensitive unless knowledge of the Identifier.system allows the processer to be confident that non-case-sensitive processing is safe.","","","","","","<valueString xmlns=""http://hl7.org/fhir"" value=""123456""/>","","",,,,,"",,,,"Identifier.value",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.period","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.period","","","",0,1,"","","Y","Period {[]} {[]}
","Time period when id is/was valid for use","Time period during which identifier is/was valid for use.","","","","","","","","","",,,,,"",,,,"Identifier.period",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.assigner","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.patientId.assigner","","","",0,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|4.0.1]]}
","Organization that issued id (may be just text)","Organization that issued/manages the identifier.","The Identifier.assigner may omit the .reference element and only contain a .display element reflecting the name or other textual information about the assigning organization.","","","","","","","","",,,,,"",,,,"Identifier.assigner",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional","","","",1,1,"","","","BackboneElement {[]} {[]}
","Ansvarig hälso- och sjukvårdspersonal","Ansvarig hälso- och sjukvårdspersonal","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.id","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.extension","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.modifierExtension","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.authorTime","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.authorTime","","","",1,1,"","","","instant {[]} {[]}
","Tidpunkt","Tidpunkt","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.authorTime",1,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId","","","",0,1,"","","","Identifier {[]} {[]}
","HSA-id","HSA-id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalHSAId",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalName","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalName","","","",0,1,"","","","string {[]} {[]}
","Namn","Namn","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalName",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalRoleCode","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalRoleCode","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Yrkesroll","Yrkesroll","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalRoleCode",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit","","","",0,1,"","","","BackboneElement {[]} {[]}
","Org-enhet","Org-enhet","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.id","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.extension","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.modifierExtension","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitHSAId","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitHSAId","","","",0,1,"","","","Identifier {[]} {[]}
","OrgUnit HSA-id","OrgUnit HSA-id","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitHSAId",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitName","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitName","","","",0,1,"","","","string {[]} {[]}
","OrgUnit namn","OrgUnit namn","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitName",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitTelecom","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitTelecom","","","",0,1,"","","","string {[]} {[]}
","Telefon","Telefon","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitTelecom",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitEmail","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitEmail","","","",0,1,"","","","string {[]} {[]}
","E-post","E-post","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitEmail",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitAddress","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitAddress","","","",0,1,"","","","string {[]} {[]}
","Adress","Adress","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitAddress",0,1,"",""
"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitLocation","inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitLocation","","","",0,1,"","","","string {[]} {[]}
","Plats","Plats","","","","","","","","","",,,,,"",,,,"inera-ehds-lm-imaging-outcome.imagingOutcome.imagingOutcomeHeader.accountableHealthcareProfessional.healthcareProfessionalOrgUnit.orgUnitLocation",0,1,"",""
